Type,Model,Accuracy,F1_Score,Best_Params
Sampling-Original,Random Forest,0.9807692307692307,0.9761273209549072,
Sampling-Original,XGBoost,1.0,1.0,
Sampling-Original,LightGBM,1.0,1.0,
Sampling-Original,Neural Network,0.8365384615384616,0.8245178214398461,
Sampling-Original,Logistic Regression,0.8269230769230769,0.8117189232543355,
Sampling-SMOTE,Random Forest,0.9807692307692307,0.9798666371942234,
Sampling-SMOTE,XGBoost,1.0,1.0,
Sampling-SMOTE,LightGBM,1.0,1.0,
Sampling-SMOTE,Neural Network,0.7884615384615384,0.7791787757696849,
Sampling-SMOTE,Logistic Regression,0.8461538461538461,0.8410450660450661,
Sampling-ADASYN,Random Forest,0.9807692307692307,0.9761273209549072,
Sampling-ADASYN,XGBoost,1.0,1.0,
Sampling-ADASYN,LightGBM,1.0,1.0,
Sampling-ADASYN,Neural Network,0.8365384615384616,0.8245178214398461,
Sampling-ADASYN,Logistic Regression,0.8269230769230769,0.8117189232543355,
Sampling-RandomUnderSampler,Random Forest,0.8846153846153846,0.889699751069909,
Sampling-RandomUnderSampler,XGBoost,0.9903846153846154,0.9904443607606853,
Sampling-RandomUnderSampler,LightGBM,1.0,1.0,
Sampling-RandomUnderSampler,Neural Network,0.47115384615384615,0.5058097438196049,
Sampling-RandomUnderSampler,Logistic Regression,0.6538461538461539,0.6827266483516484,
Sampling-SMOTEENN,Random Forest,0.9615384615384616,0.9602225523786423,
Sampling-SMOTEENN,XGBoost,1.0,1.0,
Sampling-SMOTEENN,LightGBM,1.0,1.0,
Sampling-SMOTEENN,Neural Network,0.7980769230769231,0.7926339372040729,
Sampling-SMOTEENN,Logistic Regression,0.8269230769230769,0.8333087034300382,
Ensemble,Voting,1.0,1.0,
Ensemble,Stacking,1.0,1.0,
Tuned,Random Forest,1.0,1.0,"{'max_depth': None, 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}"
Tuned,XGBoost,1.0,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'reg_alpha': 0, 'reg_lambda': 0, 'subsample': 0.8}"
Tuned,LightGBM,1.0,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': -1, 'n_estimators': 200, 'num_leaves': 31, 'reg_alpha': 0, 'reg_lambda': 0, 'subsample': 0.8}"
Tuned,Neural Network,0.8365384615384616,0.832190635451505,"{'alpha': 0.0001, 'hidden_layer_sizes': (150, 100), 'learning_rate_init': 0.01, 'max_iter': 500}"
Tuned,Logistic Regression,0.8557692307692307,0.8389147617088794,"{'C': 10, 'penalty': 'l2', 'solver': 'liblinear'}"
